MovieID,Genre,Name,GenreID,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,Code,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,ra_AVG
1,Action ,شوالیه سیاه ,1,1,0,0,0,0,0,0,0,0,0,M1,,1,,,,,4,,,3,2,,,,2,4,1,4,3,1,,,1,1,,1,2,,,1,2,1,,3,4,,,5,,1,3,,1,,,,,,,1,,2.166666667
2,Action ,بت من ,1,1,0,0,0,0,0,0,0,0,0,M2,,,,,,,3,,4,2,1,,,,,3,2,3,3,2,,,2,,,,3,,,2,,2,,,,4,3,,,2,,,2,,,,,2,,2,,2.473684211
3,Action ,ارباب حلقه ها ,1,1,0,0,0,0,0,0,0,0,0,M3,,2,5,,,,,,,,2,,1,,3,,3,,2,,,,1,,,,2,4,,,,1,,,3,,,,1,3,2,,,,2,,,,,2,,2.294117647
4,Action ,گلادیاتور ,1,1,0,0,0,0,0,0,0,0,0,M4,,2,4,,,,,,5,2,3,,,2,,,1,5,4,,2,,3,2,3,,1,3,,,,,,4,,,,,2,,,,,,3,1,1,,,,,2.65
5,Action ,مردآهنی ,1,1,0,0,0,0,0,0,0,0,0,M5,,,5,,,,,,5,3,2,,,,,,2,4,4,,1,3,,1,2,2,2,4,4,,,3,,3,2,3,,4,1,1,,,,,,2,,,,,,2.739130435
6,Adventure,بازگشت به آینده ,2,0,1,0,0,0,0,0,0,0,0,M6,,,4,,,,2,,5,3,4,4,3,,3,3,2,,4,,4,,,,,2,4,4,4,,,3,5,,2,,4,,,,,2,5,1,3,,3,,,,,3.32
7,Adventure,آواتار,2,0,1,0,0,0,0,0,0,0,0,M7,4,4,5,,,,3,,,4,3,3,,,4,4,3,,4,,3,,4,,,,3,5,,,4,4,,,1,,,,5,,3,1,4,2,4,,2,3,,,,3.423076923
8,Adventure,هری پاتر و سنگ جادو ,2,0,1,0,0,0,0,0,0,0,0,M8,3,,3,,,,,,4,,,,,4,3,2,2,,2,,,,,,,,,4,4,1,,2,3,,2,,,,,,,,,,2,4,3,,1,,,2.722222222
9,Adventure,هری پاتر و اتاق رازها ,2,0,1,0,0,0,0,0,0,0,0,M9,,,4,,5,,,,,3,,,,,,1,1,,,,,,,,,3,,5,3,,,2,,4,,,5,,,,,,3,,3,3,,,,,,3.214285714
10,Adventure,انتقام جو,2,0,1,0,0,0,0,0,0,0,0,M10,,5,4,,4,,2,,,2,4,,4,,2,3,2,4,3,4,2,4,,3,4,1,,3,,2,,,4,3,3,3,,4,4,2,2,,,,,,,,,4,,3.137931034
11,Animation,شیرشاه ,3,0,0,1,0,0,0,0,0,0,0,M11,,2,2,,,,1,,4,,1,,,,4,4,2,3,5,3,4,,5,4,5,,4,,,,,,,5,,,4,2,,,5,,5,1,,,,,,5,,3.47826087
